"Calories","TotalSteps","TotalDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TimeTakenToSleep"
1658,6564,4.07000017166138,0,0,0,4.07000017166138,0,0,0,345,530,1,538,560,22
1926,12167,7.53999996185303,0,0,0,7.53999996185303,0,0,0,475,479,1,468,485,17
1736,8198,5.07999992370605,0,0,0,5.07999992370605,0,0,0,383,511,1,524,548,24
1491,4193,2.59999990463257,0,0,0,2.59999990463257,0,0,0,229,665,1,511,521,10
1555,5528,3.45000004768372,0,0,0,3.45000004768372,0,0,0,258,610,1,541,568,27
1869,10685,6.61999988555908,0,0,0,6.59999990463257,0,0,0,401,543,1,531,556,25
1141,254,0.159999996423721,0,0,0,0.159999996423721,0,0,0,17,1002,1,357,380,23
1698,8580,5.32000017166138,0,0,0,5.32000017166138,0,0,0,330,569,1,523,553,30
1364,8891,5.51000022888184,0,0,0,5.51000022888184,0,0,0,343,330,1,456,485,29
1804,5079,3.42000007629395,0,0,0,3.42000007629395,0,0,0,242,1129,1,61,69,8
2038,10352,7.01000022888184,0,1.6599999666214,1.94000005722046,3.41000008583069,0,19,32,195,676,1,467,531,64
2010,10129,6.69999980926514,0,0.0199999995529652,2.74000000953674,3.94000005722046,0,1,48,206,705,1,445,489,44
2133,10465,6.92000007629395,0,0.0700000002980232,1.41999995708466,5.42999982833862,0,1,24,284,720,1,452,504,52
1882,5472,3.61999988555908,0,0.0799999982118607,0.280000001192093,3.25999999046326,0,1,7,249,508,1,556,602,46
1944,8247,5.44999980926514,0,0.790000021457672,0.860000014305115,3.78999996185303,0,11,16,206,678,1,500,557,57
2346,6711,4.44000005722046,0,0,0,4.44000005722046,0,0,7,382,648,1,465,514,49
2048,10080,6.75,0,1.85000002384186,1.52999997138977,3.38000011444092,0,23,26,208,761,1,460,484,24
1946,7804,5.15999984741211,0,0.560000002384186,1.67999994754791,2.92000007629395,0,9,27,206,781,1,405,461,56
2629,16901,11.3699998855591,0,2.77999997138977,1.45000004768372,7.15000009536743,0,32,35,360,591,1,374,386,12
2187,9471,6.26000022888184,0,0,0,6.26000022888184,0,0,0,360,584,1,442,459,17
2095,9482,6.38000011444092,0,1.26999998092651,0.519999980926514,4.59999990463257,0,15,11,277,653,1,433,471,38
1861,5980,3.95000004768372,0,0,0,3.95000004768372,0,0,0,227,732,1,436,490,54
2194,11423,7.57999992370605,0,1.86000001430511,0.400000005960464,5.32000017166138,0,26,9,295,623,1,448,499,51
1854,5439,3.59999990463257,0,0,0,3.59999990463257,0,0,0,229,764,1,408,450,42
403,42,0.0299999993294477,0,0,0,0.0299999993294477,0,0,0,4,2,1,411,473,62
1450,8856,5.98000001907349,0,3.05999994277954,0.910000026226044,2.00999999046326,0,44,19,131,777,1,274,469,195
1495,10035,6.71000003814697,0,2.02999997138977,2.13000011444092,2.54999995231628,0,31,46,153,754,2,295,456,161
1433,7641,5.1100001335144,0,0.319999992847443,0.970000028610229,3.8199999332428,0,5,23,214,801,1,291,397,106
1468,9010,6.05999994277954,0,1.04999995231628,1.75,3.25999999046326,0,15,42,183,644,1,424,556,132
1625,13459,9,0,2.02999997138977,4,2.97000002861023,0,31,83,153,663,1,283,510,227
1529,10415,6.96999979019165,0,0.699999988079071,2.34999990463257,3.92000007629395,0,11,58,205,600,1,381,566,185
1584,11663,7.80000019073486,0,0.25,3.73000001907349,3.8199999332428,0,4,95,214,605,2,412,522,110
1638,12414,8.77999973297119,0,2.24000000953674,2.45000004768372,3.96000003814697,0,19,67,221,738,1,219,395,176
1554,11658,7.82999992370605,0,0.200000002980232,4.34999990463257,3.27999997138977,0,2,98,164,845,2,152,305,153
1397,6093,4.07999992370605,0,0,0,4.05999994277954,0,0,0,242,712,1,332,512,180
1481,8911,5.96000003814697,0,2.32999992370605,0.579999983310699,3.05999994277954,0,33,12,188,731,1,355,476,121
1638,12058,8.06999969482422,0,0,4.21999979019165,3.84999990463257,0,0,92,252,724,1,235,372,137
1655,14112,10,0,3.26999998092651,4.55999994277954,2.17000007629395,0,30,95,129,660,1,310,526,216
1570,11177,8.47999954223633,0,5.61999988555908,0.430000007152557,2.41000008583069,0,50,9,133,781,1,262,467,205
1551,11388,7.61999988555908,0,0.449999988079071,4.21999979019165,2.95000004768372,0,7,95,170,797,1,250,371,121
1377,7193,5.03999996185303,0,0,0.419999986886978,4.61999988555908,0,0,10,176,714,1,349,540,191
1407,7114,4.88000011444092,0,1.37000000476837,0.28999999165535,3.22000002861023,0,15,8,190,804,1,261,423,162
1545,10645,7.75,0,3.74000000953674,1.29999995231628,2.71000003814697,0,36,32,150,744,1,333,478,145
1650,13238,9.19999980926514,0,3.69000005722046,2.09999990463257,3.41000008583069,0,43,52,194,687,1,237,382,145
1501,10414,7.07000017166138,0,2.67000007629395,1.98000001907349,2.41000008583069,0,41,40,124,691,1,383,626,243
1760,16520,11.0500001907349,0,1.53999996185303,6.48000001907349,3.01999998092651,0,24,143,176,713,1,230,384,154
1710,14335,9.59000015258789,0,3.3199999332428,1.74000000953674,4.53000020980835,0,47,41,258,594,1,292,500,208
1628,13559,9.4399995803833,0,1.80999994277954,4.57999992370605,2.89000010490417,0,14,96,142,852,1,213,336,123
1618,12312,8.57999992370605,0,1.75999999046326,4.1100001335144,2.71000003814697,0,14,88,178,680,1,318,480,162
1590,11677,8.27999973297119,0,3.10999989509583,2.50999999046326,2.67000007629395,0,29,55,168,676,1,323,512,189
1574,11550,7.73000001907349,0,0,4.13000011444092,3.58999991416931,0,0,86,208,703,1,237,443,206
1633,13585,9.09000015258789,0,0.680000007152557,5.23999977111816,3.17000007629395,0,9,116,171,688,2,259,456,197
1630,13072,8.77999973297119,0,0.0700000002980232,5.40000009536743,3.30999994277954,0,1,115,196,676,1,312,452,140
3654,8539,6.11999988555908,0,0.150000005960464,0.239999994635582,5.67999982833862,0,4,15,331,712,1,501,541,40
3051,1982,1.41999995708466,0,0.449999988079071,0.370000004768372,0.589999973773956,0,65,21,55,1222,1,77,77,0
2828,4496,3.22000002861023,0,0,0,3.15000009536743,0.0500000007450581,0,0,174,950,1,322,332,10
3879,10252,7.34999990463257,0,0.670000016689301,1.03999996185303,5.57999992370605,0,13,46,346,531,1,478,536,58
3429,11728,8.43000030517578,0,2.61999988555908,1.67999994754791,4.03999996185303,0.0700000002980232,38,42,196,916,1,226,248,22
2704,4369,3.13000011444092,0,0,0,3.09999990463257,0.00999999977648258,0,0,177,855,1,385,408,23
